export PATH="/home/tdurieux/defects4j/framework/bin:$PATH";cp -r /home/tdurieux/projects/math/math_45 /tmp/math_45_Ranking;cd /tmp/math_45_Ranking;defects4j compile;mkdir lib/;cp -r /home/tdurieux/defects4j/framework/projects/lib/* lib/;cp -r /home/tdurieux/defects4j/framework/projects/Math/lib/* lib/;find . -type f -name "package-info.java" -delete;
cd /tmp/math_45_Ranking;cp -r /home/tdurieux/defects4j-repair/src/python/core/../../../libs/z3 lib/z3;time java -cp /home/tdurieux/defects4j-repair/src/python/core/../../..//libs/nopol.jar fr.inria.lille.repair.Main --mode ranking --type condition --oracle angelic --synthesis smt --solver z3 --solver-path /home/tdurieux/defects4j-repair/src/python/core/../../..//libs/z3/z3 --complianceLevel 5 --source src/main/java/ --classpath target/classes/:target/test-classes/:lib/commons-discovery-0.5.jar:/home/tdurieux/defects4j-repair/src/python/core/../../..//libs/nopol.jar;echo "

Node: `hostname`
";echo "
Date: `date`
";rm -rf /tmp/math_45_Ranking;

/************************/
Executed tests:   3074
Successful tests: 3073
Failed tests:     1

org.apache.commons.math.linear.OpenMapRealMatrixTest#testMath679
java.lang.AssertionError: Expected exception: org.apache.commons.math.exception.NumberIsTooLargeException
	at org.junit.internal.runners.statements.ExpectException.evaluate(ExpectException.java:32)
	at org.junit.runners.ParentRunner.runLeaf(ParentRunner.java:271)
	at org.junit.runners.BlockJUnit4ClassRunner.runChild(BlockJUnit4ClassRunner.java:70)
	at org.junit.runners.BlockJUnit4ClassRunner.runChild(BlockJUnit4ClassRunner.java:50)
	at org.junit.runners.ParentRunner$3.run(ParentRunner.java:238)
	at org.junit.runners.ParentRunner$1.schedule(ParentRunner.java:63)
	at org.junit.runners.ParentRunner.runChildren(ParentRunner.java:236)
	at org.junit.runners.ParentRunner.access$000(ParentRunner.java:53)
	at org.junit.runners.ParentRunner$2.evaluate(ParentRunner.java:229)
	at org.junit.runners.ParentRunner.run(ParentRunner.java:309)
	at org.junit.runner.JUnitCore.run(JUnitCore.java:160)
	at org.junit.runner.JUnitCore.run(JUnitCore.java:138)
	at com.gzoltar.core.instr.testing.junit.JUnitRunner.run(JUnitRunner.java:47)
	at com.gzoltar.core.instr.Runner.main(Runner.java:46)


/************************/
/* Suspicious statement */
/************************/
org.apache.commons.math.util.OpenIntToDoubleHashMap:156 -> 0.1259881576697424 (ep: 62, ef: 1, np: 3011, nf: 0)
org.apache.commons.math.analysis.solvers.LaguerreSolver$ComplexSolver:265 -> 0.0 (ep: 3, ef: 0, np: 3070, nf: 1)
org.apache.commons.math.analysis.solvers.LaguerreSolver$ComplexSolver:266 -> 0.0 (ep: 3, ef: 0, np: 3070, nf: 1)
org.apache.commons.math.analysis.solvers.LaguerreSolver$ComplexSolver:268 -> 0.0 (ep: 3, ef: 0, np: 3070, nf: 1)
org.apache.commons.math.analysis.solvers.LaguerreSolver$ComplexSolver:269 -> 0.0 (ep: 3, ef: 0, np: 3070, nf: 1)
org.apache.commons.math.analysis.solvers.LaguerreSolver$ComplexSolver:270 -> 0.0 (ep: 3, ef: 0, np: 3070, nf: 1)
org.apache.commons.math.analysis.solvers.LaguerreSolver$ComplexSolver:271 -> 0.0 (ep: 3, ef: 0, np: 3070, nf: 1)
org.apache.commons.math.analysis.solvers.LaguerreSolver$ComplexSolver:272 -> 0.0 (ep: 3, ef: 0, np: 3070, nf: 1)
org.apache.commons.math.analysis.solvers.LaguerreSolver$ComplexSolver:273 -> 0.0 (ep: 3, ef: 0, np: 3070, nf: 1)
org.apache.commons.math.analysis.solvers.LaguerreSolver$ComplexSolver:274 -> 0.0 (ep: 3, ef: 0, np: 3070, nf: 1)
org.apache.commons.math.analysis.solvers.LaguerreSolver$ComplexSolver:275 -> 0.0 (ep: 3, ef: 0, np: 3070, nf: 1)
org.apache.commons.math.analysis.solvers.LaguerreSolver$ComplexSolver:276 -> 0.0 (ep: 3, ef: 0, np: 3070, nf: 1)
org.apache.commons.math.analysis.solvers.LaguerreSolver$ComplexSolver:277 -> 0.0 (ep: 3, ef: 0, np: 3070, nf: 1)
org.apache.commons.math.analysis.solvers.LaguerreSolver$ComplexSolver:282 -> 0.0 (ep: 3, ef: 0, np: 3070, nf: 1)
org.apache.commons.math.analysis.solvers.LaguerreSolver$ComplexSolver:283 -> 0.0 (ep: 3, ef: 0, np: 3070, nf: 1)
org.apache.commons.math.analysis.solvers.LaguerreSolver$ComplexSolver:284 -> 0.0 (ep: 3, ef: 0, np: 3070, nf: 1)
org.apache.commons.math.analysis.solvers.LaguerreSolver$ComplexSolver:285 -> 0.0 (ep: 3, ef: 0, np: 3070, nf: 1)
org.apache.commons.math.analysis.solvers.LaguerreSolver$ComplexSolver:286 -> 0.0 (ep: 3, ef: 0, np: 3070, nf: 1)
org.apache.commons.math.analysis.solvers.LaguerreSolver$ComplexSolver:287 -> 0.0 (ep: 3, ef: 0, np: 3070, nf: 1)
org.apache.commons.math.analysis.solvers.LaguerreSolver$ComplexSolver:288 -> 0.0 (ep: 3, ef: 0, np: 3070, nf: 1)
org.apache.commons.math.analysis.solvers.LaguerreSolver$ComplexSolver:290 -> 0.0 (ep: 3, ef: 0, np: 3070, nf: 1)
org.apache.commons.math.analysis.solvers.LaguerreSolver$ComplexSolver:293 -> 0.0 (ep: 3, ef: 0, np: 3070, nf: 1)
org.apache.commons.math.analysis.solvers.LaguerreSolver$ComplexSolver:295 -> 0.0 (ep: 3, ef: 0, np: 3070, nf: 1)
org.apache.commons.math.analysis.solvers.LaguerreSolver$ComplexSolver:298 -> 0.0 (ep: 3, ef: 0, np: 3070, nf: 1)
org.apache.commons.math.analysis.solvers.LaguerreSolver$ComplexSolver:299 -> 0.0 (ep: 3, ef: 0, np: 3070, nf: 1)
org.apache.commons.math.util.Incrementor:91 -> 0.0 (ep: 514, ef: 0, np: 2559, nf: 1)
org.apache.commons.math.util.Incrementor:92 -> 0.0 (ep: 514, ef: 0, np: 2559, nf: 1)
org.apache.commons.math.util.Incrementor:150 -> 0.0 (ep: 481, ef: 0, np: 2592, nf: 1)
org.apache.commons.math.util.Incrementor:153 -> 0.0 (ep: 480, ef: 0, np: 2593, nf: 1)
org.apache.commons.math.util.Incrementor:159 -> 0.0 (ep: 502, ef: 0, np: 2571, nf: 1)
org.apache.commons.math.util.Incrementor:160 -> 0.0 (ep: 502, ef: 0, np: 2571, nf: 1)
org.apache.commons.math.analysis.solvers.AbstractPolynomialSolver:71 -> 0.0 (ep: 4, ef: 0, np: 3069, nf: 1)
org.apache.commons.math.analysis.solvers.AbstractPolynomialSolver:72 -> 0.0 (ep: 4, ef: 0, np: 3069, nf: 1)
org.apache.commons.math.analysis.solvers.AbstractPolynomialSolver:73 -> 0.0 (ep: 4, ef: 0, np: 3069, nf: 1)
org.apache.commons.math.analysis.solvers.AbstractPolynomialSolver:79 -> 0.0 (ep: 3, ef: 0, np: 3070, nf: 1)
org.apache.commons.math.analysis.solvers.AbstractPolynomialSolver:28 -> 0.0 (ep: 4, ef: 0, np: 3069, nf: 1)
org.apache.commons.math.complex.Complex:115 -> 0.0 (ep: 34, ef: 0, np: 3039, nf: 1)
org.apache.commons.math.complex.Complex:118 -> 0.0 (ep: 33, ef: 0, np: 3040, nf: 1)
org.apache.commons.math.complex.Complex:119 -> 0.0 (ep: 10, ef: 0, np: 3063, nf: 1)
org.apache.commons.math.complex.Complex:121 -> 0.0 (ep: 28, ef: 0, np: 3045, nf: 1)
org.apache.commons.math.complex.Complex:128 -> 0.0 (ep: 16, ef: 0, np: 3057, nf: 1)
org.apache.commons.math.complex.Complex:129 -> 0.0 (ep: 6, ef: 0, np: 3067, nf: 1)
org.apache.commons.math.complex.Complex:131 -> 0.0 (ep: 15, ef: 0, np: 3058, nf: 1)
org.apache.commons.math.complex.Complex:132 -> 0.0 (ep: 15, ef: 0, np: 3058, nf: 1)
org.apache.commons.math.complex.Complex:156 -> 0.0 (ep: 23, ef: 0, np: 3050, nf: 1)
org.apache.commons.math.complex.Complex:157 -> 0.0 (ep: 23, ef: 0, np: 3050, nf: 1)
org.apache.commons.math.complex.Complex:161 -> 0.0 (ep: 19, ef: 0, np: 3054, nf: 1)
org.apache.commons.math.complex.Complex:375 -> 0.0 (ep: 115, ef: 0, np: 2958, nf: 1)
org.apache.commons.math.complex.Complex:384 -> 0.0 (ep: 114, ef: 0, np: 2959, nf: 1)
org.apache.commons.math.complex.Complex:408 -> 0.0 (ep: 45, ef: 0, np: 3028, nf: 1)
org.apache.commons.math.complex.Complex:437 -> 0.0 (ep: 36, ef: 0, np: 3037, nf: 1)
org.apache.commons.math.complex.Complex:438 -> 0.0 (ep: 36, ef: 0, np: 3037, nf: 1)
org.apache.commons.math.complex.Complex:441 -> 0.0 (ep: 27, ef: 0, np: 3046, nf: 1)
org.apache.commons.math.complex.Complex:448 -> 0.0 (ep: 21, ef: 0, np: 3052, nf: 1)
org.apache.commons.math.complex.Complex:527 -> 0.0 (ep: 25, ef: 0, np: 3048, nf: 1)
org.apache.commons.math.complex.Complex:528 -> 0.0 (ep: 25, ef: 0, np: 3048, nf: 1)
org.apache.commons.math.complex.Complex:532 -> 0.0 (ep: 22, ef: 0, np: 3051, nf: 1)
org.apache.commons.math.complex.Complex:1166 -> 0.0 (ep: 83, ef: 0, np: 2990, nf: 1)
org.apache.commons.math.analysis.solvers.LaguerreSolver:89 -> 0.0 (ep: 4, ef: 0, np: 3069, nf: 1)
org.apache.commons.math.analysis.solvers.LaguerreSolver:90 -> 0.0 (ep: 4, ef: 0, np: 3069, nf: 1)
org.apache.commons.math.analysis.solvers.LaguerreSolver:91 -> 0.0 (ep: 4, ef: 0, np: 3069, nf: 1)
org.apache.commons.math.analysis.solvers.LaguerreSolver:92 -> 0.0 (ep: 4, ef: 0, np: 3069, nf: 1)
org.apache.commons.math.analysis.solvers.LaguerreSolver:94 -> 0.0 (ep: 4, ef: 0, np: 3069, nf: 1)
org.apache.commons.math.analysis.solvers.LaguerreSolver:97 -> 0.0 (ep: 4, ef: 0, np: 3069, nf: 1)
org.apache.commons.math.analysis.solvers.LaguerreSolver:98 -> 0.0 (ep: 4, ef: 0, np: 3069, nf: 1)
org.apache.commons.math.analysis.solvers.LaguerreSolver:103 -> 0.0 (ep: 4, ef: 0, np: 3069, nf: 1)
org.apache.commons.math.analysis.solvers.LaguerreSolver:104 -> 0.0 (ep: 4, ef: 0, np: 3069, nf: 1)
org.apache.commons.math.analysis.solvers.LaguerreSolver:109 -> 0.0 (ep: 4, ef: 0, np: 3069, nf: 1)
org.apache.commons.math.analysis.solvers.LaguerreSolver:110 -> 0.0 (ep: 3, ef: 0, np: 3070, nf: 1)
org.apache.commons.math.analysis.solvers.LaguerreSolver:147 -> 0.0 (ep: 3, ef: 0, np: 3070, nf: 1)
org.apache.commons.math.analysis.solvers.LaguerreSolver:148 -> 0.0 (ep: 3, ef: 0, np: 3070, nf: 1)
org.apache.commons.math.analysis.solvers.LaguerreSolver:149 -> 0.0 (ep: 3, ef: 0, np: 3070, nf: 1)
org.apache.commons.math.analysis.solvers.LaguerreSolver:150 -> 0.0 (ep: 3, ef: 0, np: 3070, nf: 1)
org.apache.commons.math.analysis.solvers.LaguerreSolver:152 -> 0.0 (ep: 3, ef: 0, np: 3070, nf: 1)
org.apache.commons.math.analysis.solvers.LaguerreSolver:153 -> 0.0 (ep: 3, ef: 0, np: 3070, nf: 1)
org.apache.commons.math.analysis.solvers.LaguerreSolver:154 -> 0.0 (ep: 3, ef: 0, np: 3070, nf: 1)
org.apache.commons.math.analysis.solvers.LaguerreSolver:155 -> 0.0 (ep: 3, ef: 0, np: 3070, nf: 1)
org.apache.commons.math.analysis.polynomials.PolynomialFunction:92 -> 0.0 (ep: 42, ef: 0, np: 3031, nf: 1)
org.apache.commons.math.analysis.polynomials.PolynomialFunction:113 -> 0.0 (ep: 21, ef: 0, np: 3052, nf: 1)
org.apache.commons.math.analysis.polynomials.PolynomialFunction:128 -> 0.0 (ep: 42, ef: 0, np: 3031, nf: 1)
org.apache.commons.math.analysis.polynomials.PolynomialFunction:129 -> 0.0 (ep: 42, ef: 0, np: 3031, nf: 1)
org.apache.commons.math.analysis.polynomials.PolynomialFunction:130 -> 0.0 (ep: 42, ef: 0, np: 3031, nf: 1)
org.apache.commons.math.analysis.polynomials.PolynomialFunction:133 -> 0.0 (ep: 42, ef: 0, np: 3031, nf: 1)
org.apache.commons.math.analysis.polynomials.PolynomialFunction:134 -> 0.0 (ep: 42, ef: 0, np: 3031, nf: 1)
org.apache.commons.math.analysis.polynomials.PolynomialFunction:135 -> 0.0 (ep: 36, ef: 0, np: 3037, nf: 1)
org.apache.commons.math.analysis.polynomials.PolynomialFunction:137 -> 0.0 (ep: 42, ef: 0, np: 3031, nf: 1)
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver:110 -> 0.0 (ep: 185, ef: 0, np: 2888, nf: 1)
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver:116 -> 0.0 (ep: 185, ef: 0, np: 2888, nf: 1)
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver:122 -> 0.0 (ep: 141, ef: 0, np: 2932, nf: 1)
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver:128 -> 0.0 (ep: 170, ef: 0, np: 2903, nf: 1)
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver:134 -> 0.0 (ep: 164, ef: 0, np: 2909, nf: 1)
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver:140 -> 0.0 (ep: 171, ef: 0, np: 2902, nf: 1)
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver:153 -> 0.0 (ep: 186, ef: 0, np: 2887, nf: 1)
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver:154 -> 0.0 (ep: 186, ef: 0, np: 2887, nf: 1)
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver:173 -> 0.0 (ep: 187, ef: 0, np: 2886, nf: 1)
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver:176 -> 0.0 (ep: 187, ef: 0, np: 2886, nf: 1)
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver:177 -> 0.0 (ep: 187, ef: 0, np: 2886, nf: 1)
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver:178 -> 0.0 (ep: 187, ef: 0, np: 2886, nf: 1)
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver:179 -> 0.0 (ep: 187, ef: 0, np: 2886, nf: 1)
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver:180 -> 0.0 (ep: 187, ef: 0, np: 2886, nf: 1)
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver:181 -> 0.0 (ep: 187, ef: 0, np: 2886, nf: 1)
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver:182 -> 0.0 (ep: 187, ef: 0, np: 2886, nf: 1)
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver:187 -> 0.0 (ep: 187, ef: 0, np: 2886, nf: 1)
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver:190 -> 0.0 (ep: 187, ef: 0, np: 2886, nf: 1)
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver:195 -> 0.0 (ep: 156, ef: 0, np: 2917, nf: 1)
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver:240 -> 0.0 (ep: 6, ef: 0, np: 3067, nf: 1)
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver:268 -> 0.0 (ep: 139, ef: 0, np: 2934, nf: 1)
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver:269 -> 0.0 (ep: 138, ef: 0, np: 2935, nf: 1)
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver:294 -> 0.0 (ep: 186, ef: 0, np: 2887, nf: 1)
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver:297 -> 0.0 (ep: 186, ef: 0, np: 2887, nf: 1)
org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver:298 -> 0.0 (ep: 186, ef: 0, np: 2887, nf: 1)
org.apache.commons.math.analysis.solvers.UnivariateRealSolverUtils:324 -> 0.0 (ep: 6, ef: 0, np: 3067, nf: 1)
org.apache.commons.math.analysis.solvers.UnivariateRealSolverUtils:336 -> 0.0 (ep: 203, ef: 0, np: 2870, nf: 1)
org.apache.commons.math.analysis.solvers.UnivariateRealSolverUtils:340 -> 0.0 (ep: 198, ef: 0, np: 2875, nf: 1)
org.apache.commons.math.analysis.solvers.UnivariateRealSolverUtils:354 -> 0.0 (ep: 143, ef: 0, np: 2930, nf: 1)
org.apache.commons.math.analysis.solvers.UnivariateRealSolverUtils:355 -> 0.0 (ep: 141, ef: 0, np: 2932, nf: 1)
org.apache.commons.math.analysis.solvers.UnivariateRealSolverUtils:356 -> 0.0 (ep: 140, ef: 0, np: 2933, nf: 1)
org.apache.commons.math.analysis.solvers.LaguerreSolver$ComplexSolver:303 -> 0.0 (ep: 2, ef: 0, np: 3071, nf: 1)
org.apache.commons.math.analysis.solvers.LaguerreSolver$ComplexSolver:304 -> 0.0 (ep: 2, ef: 0, np: 3071, nf: 1)
org.apache.commons.math.analysis.solvers.LaguerreSolver$ComplexSolver:305 -> 0.0 (ep: 2, ef: 0, np: 3071, nf: 1)
org.apache.commons.math.analysis.solvers.LaguerreSolver$ComplexSolver:306 -> 0.0 (ep: 2, ef: 0, np: 3071, nf: 1)
org.apache.commons.math.analysis.solvers.LaguerreSolver$ComplexSolver:308 -> 0.0 (ep: 2, ef: 0, np: 3071, nf: 1)
org.apache.commons.math.analysis.solvers.LaguerreSolver$ComplexSolver:309 -> 0.0 (ep: 2, ef: 0, np: 3071, nf: 1)
org.apache.commons.math.analysis.solvers.LaguerreSolver$ComplexSolver:310 -> 0.0 (ep: 2, ef: 0, np: 3071, nf: 1)
org.apache.commons.math.analysis.solvers.LaguerreSolver$ComplexSolver:311 -> 0.0 (ep: 2, ef: 0, np: 3071, nf: 1)
org.apache.commons.math.analysis.solvers.LaguerreSolver$ComplexSolver:314 -> 0.0 (ep: 2, ef: 0, np: 3071, nf: 1)
org.apache.commons.math.analysis.solvers.LaguerreSolver$ComplexSolver:319 -> 0.0 (ep: 2, ef: 0, np: 3071, nf: 1)
org.apache.commons.math.analysis.solvers.LaguerreSolver$ComplexSolver:320 -> 0.0 (ep: 2, ef: 0, np: 3071, nf: 1)
org.apache.commons.math.analysis.solvers.LaguerreSolver$ComplexSolver:322 -> 0.0 (ep: 2, ef: 0, np: 3071, nf: 1)
org.apache.commons.math.analysis.solvers.LaguerreSolver$ComplexSolver:323 -> 0.0 (ep: 2, ef: 0, np: 3071, nf: 1)
org.apache.commons.math.complex.Complex:247 -> 0.0 (ep: 17, ef: 0, np: 3056, nf: 1)
org.apache.commons.math.complex.Complex:248 -> 0.0 (ep: 17, ef: 0, np: 3056, nf: 1)
org.apache.commons.math.complex.Complex:252 -> 0.0 (ep: 15, ef: 0, np: 3058, nf: 1)
org.apache.commons.math.complex.Complex:253 -> 0.0 (ep: 15, ef: 0, np: 3058, nf: 1)
org.apache.commons.math.complex.Complex:254 -> 0.0 (ep: 15, ef: 0, np: 3058, nf: 1)
org.apache.commons.math.complex.Complex:258 -> 0.0 (ep: 12, ef: 0, np: 3061, nf: 1)
org.apache.commons.math.complex.Complex:262 -> 0.0 (ep: 12, ef: 0, np: 3061, nf: 1)
org.apache.commons.math.complex.Complex:268 -> 0.0 (ep: 9, ef: 0, np: 3064, nf: 1)
org.apache.commons.math.complex.Complex:269 -> 0.0 (ep: 9, ef: 0, np: 3064, nf: 1)
org.apache.commons.math.complex.Complex:270 -> 0.0 (ep: 9, ef: 0, np: 3064, nf: 1)
org.apache.commons.math.complex.Complex:339 -> 0.0 (ep: 62, ef: 0, np: 3011, nf: 1)
org.apache.commons.math.complex.Complex:342 -> 0.0 (ep: 45, ef: 0, np: 3028, nf: 1)
org.apache.commons.math.complex.Complex:343 -> 0.0 (ep: 43, ef: 0, np: 3030, nf: 1)
org.apache.commons.math.complex.Complex:344 -> 0.0 (ep: 43, ef: 0, np: 3030, nf: 1)
org.apache.commons.math.complex.Complex:347 -> 0.0 (ep: 40, ef: 0, np: 3033, nf: 1)
org.apache.commons.math.complex.Complex:946 -> 0.0 (ep: 16, ef: 0, np: 3057, nf: 1)
org.apache.commons.math.complex.Complex:950 -> 0.0 (ep: 14, ef: 0, np: 3059, nf: 1)
org.apache.commons.math.complex.Complex:954 -> 0.0 (ep: 14, ef: 0, np: 3059, nf: 1)
org.apache.commons.math.complex.Complex:955 -> 0.0 (ep: 14, ef: 0, np: 3059, nf: 1)
org.apache.commons.math.complex.Complex:956 -> 0.0 (ep: 9, ef: 0, np: 3064, nf: 1)
org.apache.commons.math.exception.util.ExceptionContext:87 -> 0.0 (ep: 631, ef: 0, np: 2442, nf: 1)
org.apache.commons.math.exception.util.ExceptionContext:88 -> 0.0 (ep: 631, ef: 0, np: 2442, nf: 1)
org.apache.commons.math.exception.util.ExceptionContext:89 -> 0.0 (ep: 631, ef: 0, np: 2442, nf: 1)
org.apache.commons.math.analysis.solvers.LaguerreSolver:114 -> 0.0 (ep: 2, ef: 0, np: 3071, nf: 1)
org.apache.commons.math.analysis.solvers.LaguerreSolver:115 -> 0.0 (ep: 2, ef: 0, np: 3071, nf: 1)
